epoch,accuracy,loss,val_accuracy,val_loss
0,0.36866870522499084,1.330533742904663,0.43515849113464355,1.287193775177002
1,0.6324384212493896,1.0035390853881836,0.6570605039596558,0.9288063645362854
2,0.795737624168396,0.5943137407302856,0.7377521395683289,0.7479098439216614
3,0.8425131440162659,0.42657727003097534,0.6945244669914246,0.7681753635406494
4,0.8784943222999573,0.33615317940711975,0.6887608170509338,0.7755078673362732
5,0.9045115113258362,0.2783404588699341,0.680115282535553,0.834244430065155
6,0.9255466461181641,0.22535128891468048,0.6829971075057983,0.871851921081543
7,0.9371713399887085,0.19237063825130463,0.6772334575653076,0.9396824836730957
8,0.950733482837677,0.16083694994449615,0.6858789920806885,0.9696433544158936
9,0.9587600231170654,0.14103619754314423,0.680115282535553,1.056741714477539
10,0.9634652733802795,0.124589703977108,0.6772334575653076,1.0866419076919556
11,0.9673401713371277,0.11147955805063248,0.6887608170509338,1.1588993072509766
12,0.9684472680091858,0.10257720202207565,0.6628242135047913,1.1687583923339844
13,0.9759202599525452,0.0886504277586937,0.6829971075057983,1.2137470245361328
14,0.973429262638092,0.08949340134859085,0.6685879230499268,1.2550652027130127
15,0.972875714302063,0.08853622525930405,0.6657060384750366,1.2569193840026855
16,0.9739828109741211,0.07841312140226364,0.6599423885345459,1.3186943531036377
17,0.9753667116165161,0.07400499284267426,0.6599423885345459,1.3818129301071167
18,0.976473867893219,0.07152370363473892,0.6685879230499268,1.4103103876113892
19,0.9773041605949402,0.06521487981081009,0.6628242135047913,1.4372962713241577
20,0.9786880612373352,0.06857673823833466,0.6570605039596558,1.5200072526931763
21,0.9759202599525452,0.0745120644569397,0.6628242135047913,1.4737508296966553
22,0.9781345129013062,0.06698600947856903,0.6657060384750366,1.5240341424942017
23,0.977027416229248,0.06523817032575607,0.6743515729904175,1.5091482400894165
24,0.9775809645652771,0.05821315944194794,0.6628242135047913,1.5325901508331299
