epoch,accuracy,loss,val_accuracy,val_loss
0,0.3736506998538971,1.3261668682098389,0.4149855971336365,1.2828079462051392
1,0.6285635232925415,0.9968832731246948,0.6311239004135132,0.9458504915237427
2,0.792969822883606,0.5931419134140015,0.7002881765365601,0.7573223114013672
3,0.8375311493873596,0.4246087968349457,0.6858789920806885,0.776675283908844
4,0.8784943222999573,0.3352268934249878,0.6916426420211792,0.7940930724143982
5,0.9017437100410461,0.27495864033699036,0.6887608170509338,0.8498108386993408
6,0.9219484925270081,0.22949853539466858,0.6772334575653076,0.8864964842796326
7,0.9374480843544006,0.19232231378555298,0.680115282535553,0.9780765175819397
8,0.950179934501648,0.1619434505701065,0.6858789920806885,1.0297346115112305
9,0.9587600231170654,0.14561596512794495,0.6685879230499268,1.081430435180664
10,0.9642956256866455,0.1244991347193718,0.6743515729904175,1.1230156421661377
11,0.9648491740226746,0.11616747081279755,0.6858789920806885,1.1873643398284912
12,0.9676169157028198,0.10597303509712219,0.6858789920806885,1.2155433893203735
13,0.972875714302063,0.09135560691356659,0.6714697480201721,1.2365223169326782
14,0.9706615209579468,0.09088985621929169,0.6685879230499268,1.3173505067825317
15,0.9717686176300049,0.08869463950395584,0.6628242135047913,1.3594599962234497
16,0.9767506122589111,0.08128239959478378,0.6829971075057983,1.3694179058074951
17,0.9759202599525452,0.07517825067043304,0.6685879230499268,1.365166425704956
18,0.9753667116165161,0.07322917133569717,0.6743515729904175,1.455196738243103
19,0.9759202599525452,0.0712692141532898,0.6772334575653076,1.4577192068099976
20,0.975643515586853,0.06802290678024292,0.6685879230499268,1.4762357473373413
21,0.975089967250824,0.07259771227836609,0.6628242135047913,1.4748520851135254
22,0.9759202599525452,0.06650994718074799,0.6772334575653076,1.4877560138702393
23,0.9778577089309692,0.061297643929719925,0.6743515729904175,1.5328761339187622
24,0.975643515586853,0.06470906734466553,0.6858789920806885,1.522119164466858
